review,actual_sentiment,language
"I just can't understand why people are surprised this movie makes no sense. It was never supposed to make sense. (Duh! The writers were completely wasted on Frodis at the time.) It was just supposed to entertain and mock, and it does both wonderfully.The Monkees are good actors. They wouldn't have been hired if they weren't good actors. Mike has a thing for deadpan and darkness, Micky is the best at sheer psychotic comedy, Davy is a Broadway veteran, and Peter actually had people believing he was that dumb in real life. Don't tell me they can't act, because they most definitely can.They can also write. Sure, Jack & Bob get the sole credits, but in reality, they got a big helping hand on that script from the Monkees, who were also in that smoke-filled room.(it is absolutely impossible to spoil this film) Head is very highly symbolic. Among the more memorable elements is the black box, which was actually based on 2 things: the Monkee image that the boys were bound to, and the real black box on the Screen Gems lot where the band was kept between takes. There's so much more symbolism in the movie that I'll just let you watch it and figure it out.The music is awesome. ""Circle Sky"" is one of Papa Nez's best tunes ever, and ""Porpoise Song"" & ""As We Go Along"" will have you enthralled. If you'd rather be weirded out, then ""Ditty Diego"", ""Can You Dig It?"", and ""Long Title"" should be satisfactory, great songs that they are. And then there's ""Daddy's Song"", without a doubt a homage to Davy's Broadway days, and the editing/color scheming for that sequence is superb. (At least for '68.)Oh, For those of you who won't watch a 'PG' film, you're missing out. Especially since Head was originally rated R in 1968. The rating was lowered about TWENTY years later!Now where was I? Ah, yes: ""We were speaking of beliefs. Beliefs and conditioning....""",positive,en
"Calvin was very helpful, helped with my direct payments as I had an issue and he was very understanding he went above and beyond to help even helped to get a date for a smart meter to be put in and also gave advice on the priority service",positive,en
i feel the hot breath of the buffalo s tongue on me out of the dark an arrow shoots straight into the first buffalo s eye,positive,en
"Robertos is mosdef my go-to mexican food fix! I come here mainly for the carne asada fries and their horchata! They are open 24hours which is awesome! And this particular one has a drive-thru! double awesome! They also have free condiments such as, salsas, jalepenos, cilantro, diced onions, etc. available for you and its suprisingly made upon order! Well this particular location anyway. The staff is great and friendly which is obviously very important enjoy and happy eating :)",positive,en
"Saravana Bhavan, true to its name, stands for authentic south indian food. The thali meal we had was very tasty but the portions were small. For the number of accompaniments, the parota served was only one and the rice was limited. The mango lassi was quite good indeed. The service was businesslike. Parking is a big issue here, and we had to walk almost half a kilometre!",positive,en
"I love staying at the Warwick in New York. It has everything I want and is very affordable. I grew up in New York City and the Warwick provides the best east/west side location and therefore is convenient to everything.
The rooms have been updated and are lovely and spacious.
The service is excellent.
The fitness room provides a good array of options.
Room service is good and efficient.
I highly recommend this hotel whether you are in New York for business or pleasue.",positive,en
"Operating profit totalled EUR 83.0 mn, up from EUR 23.5 mn year-on-year.",positive,en
The best app to know trends in different topics. What are people talking the most about just right now? Why? Can be fun or bad news but at least now you know,positive,en
"Prof Adam has done superbly well in engaging viewers into the subject, the structure of the course is obviously well thought out, so that viewers will be able to comprehend step by step into the deeper mystery of the modem Astronomy has to offer without going into the maths.After the course, I have the dismay feeling that the course has ended and human being is so minute compared to the vast mega parsec of the Universe.Bravo !!",positive,en
"One of two of my favorite sushi places located in the middle of the desert! Located on the west side, Lahaina Grill caters to the locals of Summerlin and the surrounding area. The 24 hour sushi is no longer available but they do still serve it up until 4am.\n\nLots of special rolls to choose from on their menu...one of my favorites, the Lahaina Special (of course.) They also have a happy hour sushi menu that is quite an excellent value. \n\nThe interior is unique (in a good way) with a tropical setting and the restaurant is clean. There is a full bar with video poker machines built in, a sushi bar (no machines) and plenty of table seating throughout. There's also a private room that can be reserved for meetings and parties that is sealed off with big windows and doors so you can be as loud and rowdy as you want without disturbing other patrons. I miss my old company's monthly meetings in there. I really enjoyed being able to order sushi at 9am on a weekday during a business meeting or rolling in at 3am after a night of partying craving sushi. Well worth the drive to the west side if you happen to live east of the Strip.",positive,en
i feel like the year was productive in most areas of my life,positive,en
Man I forgot how good the pizza was. It was thick crunch yet soft. My wife and I will definitely go back. And the service was good. I think our server was over sat with customers but he did his best to make it pleasant.,positive,en
"I have never written a review but felt I just had to after staying at this hotel. This was our first trip to New York City and we worked very hard to research the best price, location and amenities. This was a family reunion so we reserved 3 rooms total and each one was a little different from the other. We were traveling from December 26th through December 29th 2006.
This Comfort Inn was adorable because it was a ""boutique style"" so you didn't feel like you where in a typical cookie cutter chain hotel. It was located on 35th street between 5th and 6th so it was walking distance to the Empire State Building, around the corner from Macy's and many other shops and even had an attached resturant ( with the best pizza I've had in a long time I might add) where you recieved a 15% discount as a guest at the hotel. This was also where the contenential breakfast was served each morning. With four teenages in our group it was enough to fill them up so all we had to buy was a hot dog on the street for lunch and then a nice dinner.
A half a block away was a Starbucks, 24 hour drug store , subway station and deli. Across the street were two irish pubs (not loud) and parking.
Upon arrival our rooms were ready early and we checked right in. There was also a very friendly and helpful bellman at the curb to help us unload. He was also there the day we left to help us load our car.
The rooms were not huge but were very clean with new up to date bedding, new carpet and very comfortable beds. The bathroom was also very clean and adequit for our needs.
It's easy to see you are in an old building when you are there with the old marble and wood staircase and very small eleveators but that really added to the charm of being in NYC!
I am very picky about hotels and I thought this was great. If you are looking for the best value with an ideal location, look no further. This is the place to stay.",positive,en
The best place you can find any music you want,positive,en
"The purpose of our visit was to welcome our son Jeremy, and his co-rider Wesley Barrientos to Washington DC as they completed their 100 day cross-country bicycle ride from Bakersfield, Calif. to Washington,DC for Veterans Awareness. This hotel was recommended by our travel agent, Lorna Young of Sierra West Travel in Porterville, California. It was an excellent choice.
It is located in the heart of the Downtown area. Easy access to all the Monuments, White House, Metro, and tours.
The rooms are verry comfortable, well maintained and the staff was great and very helpful and had knowledge of what is where! No question, I would stay there again.",positive,en
"I have been staying at this hotel annually for the Texas vs. OU game. For the last several years both the condition of the property and the service have been getting increasingly worse. We were going to change hotels but the hotel boasted about the new ownership and all the money spent to renovate every single guest roome - i'm sorry the place again is worse - and the renovations clearly missed all of the 2nd floor. Carpets are filthy, sinks wont drain. The beds are really comfortable so that is a plus. The front desk staff is usually rude. As an example, i booked 3 rooms in my name for our group. Each person was with me at check in and wanted to transfer the rooms to their credit card. The front desk staff made this almost impossible. I finally had to threaten that i would deny the charges - then a manager appeared and they fixed it. The sign at the front says ""new management that wants to ensure a 10 rated experience."" I just haven't seen it. For next years game, we will look for somewhere else to stay.",positive,en
When i started this course i had already been studying java programming for a few months. This course was incredibly useful at helping me get up to scratch in C# very quickly as well as get the feel of visual studio. Even with no programming experience this course could probably have the same effect.,positive,en
"We came here after drinks at Ming and we were very happy with our choice. My husband said his nasi lemak was fantastic and my pasta was great too, even if a tad spicy for my taste.",positive,en
very help full and lot of promo!,positive,en
i feel fantastic about it but dont get me wrong it was difficult borderline arduous,positive,en
"I very much enjoyed staying at the SLS. The prices were a bit steep in the bar and restaurant, but the hotel itself was beautiful.
I very much liked the rooftop pool area. That was funky.
The design of the room was very chic and modern. Definitely one of the nicer rooms I've stayed in.",positive,en
"The ordering process was great and the delivery guys were helpful. I did have an aftersales problem which I was initially unimpressed with. I gave customer services the opportunity to put things right and in fairness they did. I suppose the 'proof is in the pudding' as they say. I mention this as it did give me confidence in Marks Electrical as things can sometimes arise and it is important to know they do value custom. That said I would recommend this company and would use them again. A particular mention to the resolution manager who dealt with me very effectively, thanks!",positive,en
Food here is amazing.. service staff Sarmila is impressive!! her service and recommendations is tiptop!!!! Thank u,positive,en
The e-commerce giant was dubbed a top internet pick by one analyst.,positive,en
I LOVED it! Can't stop thinking about it! I would go watch it again!,positive,en
"keeps dirt moist
This stuff works, I put it in all my pots this year, think there was less watering.",positive,en
"Arrived fairly quickly and on the whole Ok. Colour a bit insipid, could be brighter. Really pleased you do a matte finish.",positive,en
Its accurate and fast services. Need improvement on network services coverage.,positive,en
"The best breakfast ever !!! Andrea our waitress was great, very friendly, and prompt. By far the best on fremont street. Highly recommend! Delicious !!!!! Oh almost forgot Prices are very reasonable for the quality of food.",positive,en
We like this movie theater. It's always clean and never crowded. Movie prices suck of courseBut if you go before noon is not to bad. Get the cup I'd you come more than twice. It's worth it.,positive,en
Going to the GRAMMYS First entertainment law breakfast here in NYC tomorrow! I\u2019m so excited. One step closer...,positive,en
"Good
Look okay smells weird my but my daughter is very picky & she ate it so not bad.",positive,en
What an awesome place to on the weekend or during the week for dinner. You can't go wrong with their Happy hour menu. The ramen here is delicious and it is only $5 on the Happy hour menu. Also the chicken wings are amazing too. It is right by my house so it is nice to either walk or scooter here. While if you are looking for an awesome place to go for HH in downtown you should check out this place.,positive,en
Great rooms. Traveling with two small kids and wish there was a small light to leave on at night so you can see when they get up. All the lights are too big and bright. Staff is great check in and next morning at breakfast. Really good little breakfast. I booked over aa.com using airline miles simple and easy.,positive,en
"I love this place. The food is always excellent and fresh. \n\nThe red curry is my favorite item and I find myself craving it all the time. The curry has a perfect balance of sweet and spicy and the veggies always have the right amount of crunch. I also love the chow mein, orange chicken and spicy fried rice. The restaurant is very clean and you can see into the kitchen which also looks clean. My food is always ready in about 10 minutes for take out and the service is very friendly.",positive,en
"Good food, moderate location, considerate hospitality, reasonable price",positive,en
"Really enjoyed
Good storyline with entertaining and enjoyable characters and unbelievable chemistry",positive,en
"Cheesecake was very unique!!! Is a thicc. The cream goes great with it. The choco cake is a bit bitter and thick too, so would be good for choco lovers.",positive,en
"Upon my arrival in Vegas my friends Jeffrey L and Clarisse C, suggested that we go to Earl's. They usually know the best spots to eat, so I trusted their judgement for this.\n\nI ordered the hawaiian bbq, and was completely in love with it! I figured the bread might get soggy because of the sauce, but it wasn't at all! The bread was tasty too, and very light. I became quite the fan and made frequent visits here on my trip.\n\nI tried the Caprese sandwich which is basically slices of mozzarella cheese and tomatoes. This by far was my absolute favorite sandwich there. The vinagerette was perfect with the melted cheese and the tomatoes were just perfect! \n\nPrice was decent too, if you're on a budget for food in Vegas, I'd definitely suggest Earl's, there are plenty of choices to choose from, and you'll want to try just about everything on the menu!",positive,en
i think i need to learn when to conserve energy a bit better even when im feeling bouncy which wears off once ive started trying to do something,positive,en
"PayPal created issues with my billing address and lack of order email, Hughes fixed all issues within minutes, great customer service!",positive,en
make my trip easier,positive,en
"Great deal
Good deal for price. Not going to last long but were cute for pictures I took!!!",positive,en
Sometime gets very slow. Should be treated.,positive,en
"I absolutely hate the knew update. When I'm about to post a tiktok and I try to type it looks different, I HATE IT! it make me uncomfortable and not satisfied",positive,en
The app load up is slow.,positive,en
"Restaurant Angcle Peoh - the best Assam laksa at Bukit Tinggi, Klang originated from Penang. Penang food cravers don't have to hop to Penang . The aromatic Assam laksa with thick soup covered with full of fish meats, delicious and tasty.Assam laksa became one of my favorite Penang foods in Klang. Long queue especially during pubic holidays and weekend also crowded. Eating a bowl of Assam laksa really need a lot of patience , waiting for our turn to get a seat.Luckily once seated, ordered, foods served rather fast to our satisfaction .",positive,en
"Loved the Trump Soho. Great value for NYC. Rooms are a decent size - alth bathrooms are huge! with a large bathtub & separate shower. Location is a quick walk to Soho. Couple of issues: elevators can be slow during peak times (check in/out, etc). The neighbouring room decided to turn on the television at 3 am (!!) and we could hear very clearly the show. Possibly because the tvs are bolted to the shared wall? Otherwise loved the hotel...",positive,en
"Friendly helpful people.
Great company to deal with,
Prices reasonable.
10/10 for this company.
Regards
Dave",positive,en
Third appliance purchased with Marks Electrical. Excellent service again. Would recommend.,positive,en
"We only stayed at this hotel for one night but it is lovely and in the perfect location. The only downside to this hotel is that is doesnt come with free WIFI, which for the amount you spend per night im suprised they dont include it like all the other hotels we stayed in. But all in all a nice hotel with times square literally on your doorstep.",positive,en
"Comfy bed, clean room, good service...but: the room has the aesthetics of a corporate conference room -- lots of dark wood, flourescent lamps, etc. Oh, and Marriott? It's 2009 -- time to have *wireless* internet. Right now, as Mrs. E. sleeps, I'm sitting on a hard, very corporate desk chair to work on my computer; the network cable they supply is not long enough for me to sit on the sofa across the room, much less (if Mrs E were not sleeping) sit in bed and work on the computer, as is my, and her, preference.",positive,en
"Apple became the world's first $3 trillion company for a brief while, and according to analysts, its stock still has room to grow.",positive,en
"Recently, the app still has a problem with comments in live not appear unless you leave the live and enter it again. Hope this issue will be fixed soon.",positive,en
Ok sip mantap,positive,en
The best music app....♡💜🐰,positive,en
i saw how real class differences were and to a certain extent i feel that singapore really is a lot more gracious in comparison to their society,positive,en
"We enjoyed the large room with Queen bed, sofa, desk, and TV. It was easy to reach Sea World but not as close to it as we expected. It was close to Old Town and all of downtown San Diego and we liked the easy freeway access.",positive,en
Great features and good response and good results. Very nice app. One will see and find places on Maps easily and quickly so very important and helpful.,positive,en
"This review is for their lunch. \nLunch is only available on the weekdays and they have a limited bento menu. \nAlthough limited, the bentos are plentiful. \n\nI had a bento with katsu. The bento came with rice, soup, salad, tempura and the protein. It was more than enough food for me. I probably could have shared it but I didn't want to (mine!). \n\nI wish they had lunch on the weekends!!! I would so be there!",positive,en
i feel glad that there is someone else who actually knows about it beside my best friend,positive,en
it contain a lot of information that can improve my knowledge.,positive,en
"I've been using this app for close to a year now. Encountered only a few problems; loading fewer replies than the given count, showing tweets I can't reply to because they are deleted. I mean, why show me a deleted tweet? Otherwise, the app is ok. Please look at sorting replies to tweets, like: by date, relevance, most likes or some such scheme. Thank you.",positive,en
"Nice environment. Fancy food, a bit pricey.",positive,en
"We bought their Groupon Deal which consist of soup, salad, main course and desert.The soup came in potato and leek soup (pretty tasty) and roast duck with vege (alright).The salad was classical prawn cocktail (alright) and tuna carpaccio (this was surprisingly really good!).The mains were filo wrapped salmon fillet (my father-in-law didn't like it), porky cordon bleu (this was pretty good), and fiery ribs (alright). We wanted the prawn and pork sizzling but was disappointed they did not have that even though we were one of the first diners there that night.The desert was vanilla or chocolate ice cream which was nothing to shout about.So overall, more hits than misses. It was a bit pricey tho and if not for the Groupon deal, we may not have gone there to eat with all the cheaper hawker stalls in Ipoh.",positive,en
"In May 2014, I went on a search to find a workout partner...simply to help keep me motivated. What I found was Seth at TPT, and group training. For the longest time, my body and weight were stagnant. Even though I was trying everything...I wasn't seeing any positive changes and I was losing motivation. I went for my physical assessment on May 12th and it's been an amazing transition so far! I literally saw results in the first two weeks of training...and my physical energy is through the roof!! It doesn't matter what age or level of fitness you're at, Seth and the trainers at TPT are extremely knowledgeable about customizing the training and diet specifically for what YOU need...without breaking the bank either! I've gained so many great things since joining the TPT family...great training, great results, great friends and on my way to a great body!!!",positive,en
Just returned from a 3 night stay with my wife. This hotel is superb- the staff really make you feel welcome from the minute you arrive to the minute you leave. This hotel really made our NY trip exceptional. Would definitely recommend and return- hopefully sooner rather than later.,positive,en
"I LOVE this place. Are the hours too short? Yes. Would I prefer a larger, more central location? Of course. But, unless the prices are jacked to the sky, I will keep going there for the food and the philosophy. \n\nThe croissants are, bar-none, the best in the valley. No joke. They are buttery, flakey, flavorful (my mouth is watering as I write this) and worth twice what I pay for them. The chocolate croissants are heaven on a plate. I will say that I was slightly disappointed in the almond croissant, not because it wasn't good, but because it was too sweet compared to the plan or chocolate ones. \n\nI love my mochas, as well, and they have a great one here. I highly recommend it with one caveat: the mocha is perfectly sweetened UNLESS you eat a sweet item before it. Therefore, when buying both a chocolate croissant and a mocha (which I often do,) either drink the mocha first, or eat the croissant and wait before tasting the mocha. Trust me, they are both delicious if eaten correctly :)\n\nThe macaroons are amazing! I prefer the creamy ones (hazelnut, vanilla, caramel, dulce de leche, pumpkin) but some people prefer the fruity ones with jam in them. The chocolate has a fudgy, not creamy filling. It's still good, but it's not what I was expecting.\n\nAs I said, their philosophy is awesome. They buy local and organic, compost, use sustainable resources and recycle. What can I say? It's everything I want in a restaurant!\n\nTry to avoid this place at lunch because it is CRAZY busy. But tasty, tasty, tasty.",positive,en
"YUM!\n\nI have recently become a vegetarian (NO MEAT!) and really enjoy having a strictly vegetarian eatery within a half hour drive.\n\nThe food here is amazing & makes me come back for more.\n\nAnyone who likes good food or is trying to cut down their meat consumption, should definitely check out the Green Vegetarian Restaurant.",positive,en
"My husband and I traveled to Chicago for a family wedding. We reserved our room through a group rate for the wedding. We asked for a King bed, but was told it might not be possible. When we checked in we asked again for a King and was told one was available. The room was nice, but the bathroom is very small. My husband and I could not be in the bathroom at the same time. As always with a Holiday Inn hotel, the staff was very nice and helpful. They hotel had two restaurants attached to it. The food was okay, nothing to rave about. There is no parking at the hotel, except valet. The price varies on who you talk with. Online it states valet parking is $44 a night, a hotel staff stated it was $35 a night, and we ended up being charged $30 a night. So ask about the price of valet parking. The hotel is close to Union Station and a CTA blue line stop. Overall, we had a good stay with a wonderful staff.",positive,en
"So good we returned for another meal! Everything we ordered was absolutely delicious, in particular the morning glory and pork belly! I'm sure we would have returned for a third time if we had longer in Georgetown!",positive,en
Sek Yuen is an old school chinese restaurant. Even the waiters are old school with a friendly smile. They would make nice recommendations if you are a first timer. The chicken with fish paste was nice as was the pei pa duck. Give it a try. Just hop off the PUDU lrt.. turn left as you exit the station and you get to its back entrance. They still use wood fire to cook.,positive,en
Very nice little place- clean and modern. Had veggie Laksa which I didn’t see on the menu but asked for after reading reviews here. Really loved it!,positive,en
Ordered DVD in advance. Arrived promptly for collection at local store. Pick up simple. No problem with any of this process.,positive,en
"I can't even tell you how wonderful the peruvian cuisine is here. Actually, I can. I went to this place because I live very close by. I didn't expect much when walking in. Decor is cool, but it was not busy at all which worried me. We asked the waiter what his fave dish was and he said the Lomo Saltado. I ordered it and fell in love the minute the food touched my lips. It's quality beef strips, sauteed with white onions and sliced tomoatoes. It is cooked in a vinegar/beer marinade and tossed with french fries. My husband got the Milanesa. It is breaded steak with a side of a beautiful pesto pasta. We haven't tried any seafood here but that happens to be one of their specialties. This place is perfect for a date night, or bringing family to for a night of great food.",positive,en
"I'm not typically a breakfast kind of guy, but occasionally I get a craving for breakfast foods. Whenever I get this craving, U.S. Egg is my go-to place. The half-and-half breakfast is the best of both worlds, you get a great egg and potato skillet plus their awesome protein pancakes.",positive,en
"I stumbled upon this movie on cable and was totally hooked. The story of a group of surfers who ride the big waves, waves that are monstrously huge, waves that would make any rational person run away in terror is a one that manages to be spectacular and make you understand why people spend their lives chasing waves. There is nothing special about the film, other than it brings together some very interesting people who are are in love with what they do and lets them talk. Sure there are scenes of them surfing, but what makes this movie so special is the people. Here are a bunch of guys who are so enthusiastic about what they do that it crosses over to the people watching. Half way into this movie you'll want to go off and learn to surf as well. Few documentaries have ever managed to covey the passion that these people have and its the films ability to make us feel it that makes this a great film. See it.",positive,en
i feel very invigorated probably because i just drank my second cup of coffee today and to be honest i havent eaten much aside from a couple pieces of toast and a little at a bbq hassan invited me too,positive,en
"I love it here! They are so friendly and remember you. I just love the staff from the phone, to the front desk, to sitting in the chair. The atmosphere is very relaxing and modern.\nI feel like I'm in excellent hands and taken care of. They listen, are patient, and discuss options with me.",positive,en
"We are in Memphis for a birthday getaway... tickets to a Grizzlies game, yummy food, etc... I have stayed at the Peabody several times but never at the Madison, although I had looked into it more than once.
I ""price-lined"" our room and paid $335 for two nights, taxes and fees included. I had read a couple reviews on Trip Advisor that people felt they were given a ""poor location"" because of using PriceLine to acquire their room... We did, in fact, receive a room located where others were... right beside the elevator... perhaps this is the practice, maybe these are the smallest rooms (?) but I have a very strong feeling that if, in fact, I was disappointed in the room and had expressed this to the front desk, we would have been relocated.
The front desk staff were absolutely wonderful. Upon arrival, a very nice woman greeted us, checked us in, and made sure we had trolley maps and info on the area. There were drinks and chocolate-covered strawberries for guests.
Our room was very small...but the website lists square footage of each room, so it is not something they try to conceal... Despite the size, the room was very clean and the bathroom was well-appointed...with the most wonderful shower head in the shower/tub and several ""extras"" along with the standard soaps, shampoo, etc... (shower cap, cotton swabs, cotton facial pads)
I did miss having a refrigerator in the room---rarely use the microwave so frequently included---but did miss the fridge... They are available in the bigger rooms, however.
The beds were firm (I'm a soft bed fan but the yummy sheets made up for the firm mattress) and I have become quite attached to a fabulous blanket that was an ""extra"" located on a shelf under the television.
Hopefully tomorrow we will visit the top of the building to enjoy the view...so far, weather has not allowed it...
We ordered room service and everything was delicious... Cynthia from the front desk made a special request for me to have the crispy creme brulee delivered to our room even though it was not ""in room dining"" but restaurant only and it was the best ever... We had cocktails our first night in the hotel and room service the second. Be sure and eat at Eighty3 if possible and have either the blueberry bread pudding or the crispy creme brulee... wonderful...
We enjoyed the complimentary turn-down service at night and the chocolates on our pillows... also enjoyed ice in the ice bucket when we returned to our room... (reminded me of being on a cruise!)
I wish we did not have to leave tomorrow... and I wish the weather had been warmer... but, that's just more motivation to return, I suppose!
I do think I would like to experience a bigger room in the hotel, although I'm not sure it's feasible for stays that have you out of the room more than in it...
Between the Madison and the Peabody, aside from the size of our room, the Madison tops in all categories... I would not hesitate to recommend the hotel to anyone.. and you can always walk over to the Peabody and enjoy the lobby and see the ducks... but then you can return to the Madison and to friendly people like Cynthia, have a complimentary chocolate strawberry & a mimosa and cuddle up in your room...",positive,en
"You'll get your tacos faster than you can say horchata and bursting with flavor. My favorite is the al pastor...anything...fries, tacos, etc. If it has the al pastor, I'm down. Their horchata is hit or miss. Sometimes it's too sweet",positive,en
i was feeling quite mellow and i wanted a soft easy look to wear with my beginning of a cold,positive,en
"Finnish Metso Paper has won an order to supply an uncoated fine paper machine to MCC Paper Yinhe, in China.",positive,en
"Love, love, love, love Blueberry Hill!! This is a must any time I am in Vegas. The most amazing chicken fried steak and country gravy (white like it's supposed to be) and fantastic pancakes. At one time they also had some killer biscuits but somewhere along the way they've changed the recipe and they taste like straight lard now. \n\nWe don't even bother with casino breakfast or eating on the strip.... we get up early to eat breakfast here. Honestly, if you've never been here for breakfast you should really try it. I can't speak for lunch or dinner but I can tell you that the breakfast is excellent!",positive,en
"Great Customer Service!
Love this product. But after about 7 months of normal usage, it started to have connection issue and not charging properly. Kinda disappointed. I thought it could last longer. When charging iPad Pro, the end that connects to iPad turns hot. Not sure if it happens to any iPad. At least it does not turn hot when charging iPhone. ---------------------------------------------------------------------------------------------------------------------- Update: Anker Customer service recently contacted me after they saw my review and reached out to me. They acknowledged the one I got might be defected, and they sent me a newer version to try out. It definitely looks a lot more sturdy than the previous one. And it works! Love it!",positive,en
"Good for sleeping
Stronger than I thought so I have adapted the dosage for my needs. You will have to test it for yourself. To much puts me to sleep. I use it a lot at bedtime. Directions say to turn the top one way to open, but my bottle opens the other way. It took me 4 days trying to open the bottle until I tried the other way. I will probably purchase again.",positive,en
"Bought all the bits for building my new mid spec PC and it all arrived in good condition, no problems, good service.",positive,en
"We did the Philly Overnight Hotel package for the King Tut exhibit at the Franklin Institute. We had such an enjoyable time and what made the experience even better was our stay at the Loews. Let me first say that the staff at the Lowes was super nice and helpful. They understand the term “great customer services”. The hotel it self is beautiful with the marbles floors. Our room was even more beautiful with the flat screen TV and nice comfortable king size bed. Not to mention our view of Philadelphia was stunning. The hotel sits in the middle of downtown so you are near everything….restaurants, stores, theaters, lounges, etc…So close that you can choose to walk or take a cab. Worth every penny.",positive,en
"Four Stars
bought the wrong product. need glycolic face wash. I discarded it instead of returning it.",positive,en
"Exciting!
Love this writer. Exciting!",positive,en
"Great stash can
Husband loved it. Looks just like the real thing. He was confused when he thought he got a tea for Christmas lol. The only thing I don’t like is lid. It’s hard to put back on and I feel like it could break if you push too hard",positive,en
"for the price that was paid it was an excellent deal. It is within walking distance to just about everything. The staff was friendly. The only thing that I would suggest is to eat breakfast elsewhere. For the food they have it is overpriced, and limited selection. The only downside I have, and this isnt the only city that does this, is you have to pay for parking, and it was $7.01 per day... not $7, i could never figure why they charge that extra penny",positive,en
gooddddddd,positive,en
"Good price, efficient service and delivery was quick.",positive,en
"If your a true BBQ lOVER as I am this is the one to visit! I've had the ribs, pulled pork, and brisket and it's all good. I've drive out of my way and don't mind passing other by on the way. A little pricey but we'll worth it, I'll definitely be back again and again two thumbs up",positive,en
i feel like a valued member of the team and have been very pleased to accept a permanent contract,positive,en
Staff very helpful choosing my new television & delivery good.,positive,en
i came away from talking to him feeling optimistic,positive,en
"A must-read for all travelers to Barcelona
This series weaves its way around the streets and landmarks of Barcelona - it’s a perfect fictional travel guide - enjoy!",positive,en
"zu diesem Hotel kommt man ohne Probleme mit dem Auto, das man dann beruhigt im (recht teuren) Valet-Parking lässt für den SF-Aufenthalt. Die Fassade wirkt irritierend - das Haus steht einzeln, als ob alles andere drum herum mal abgerissen wurde - das ist aber ja kein Nachteil. Sobald man das Hotel betritt, fühlt man sich wohl. Bemühter Empfang deren Englisch allerdings für uns etwas schwer verständlich war, darum haben wir erst am 2. Tag kapiert, dass es morgens gratis Kaffee in der liebevoll gestalteten Bibliothek auf einer Empore gibt. Die Zimmer sind klein, sauber und hübsch eingerichtet. Das Bad ebenfalls klein, aber mit einer der besten Duschen, die ich in USA erlebt habe. Die Lage als Startpunkt für SF klasse, nur die Turk Street sollte man eher meiden - dort ist es nicht mehr ganz so schön....",positive,en
"Bought a hopelessly underpowered PC from a well-known US web-based company. Decided that more memory might solve the problem, so replaced the 4gb of RAM with 32gb of RAM. Took quite a few attempts to properly seat the memory, and to get the PC to recognise it, but got there in the end.
It's now the fastest PC I've ever owned!! Might even consider upgrading to Windows 11, as I have so much spare capacity.
Delivery was fast, the price was reasonable, and I'm a very happy customer.",positive,en
"Super convenient to the airport and unique building. Very tranquil inside lobby and atrium area. Super large King room with tons of space, large desk, couch and chair. We had an interior view of the lobby. Nice bathroom with two outlets - one on each side of the sink - great hairdryer and water pressure! Loved that there was a full length mirror and a half mirror with plug under it...bed was super comfortable. Room service was very good and fast! Room was very clean - love the large plush towels - never heard much hall noise. Breakfast buffet was awesome for the money - great oatmeal and made to order omelet! Only complaint was that the tv was smaller than preferred and it was very hard to change channels from the bed which is right in front of the bed. Other than that we loved it!",positive,en
The portion is ok with nice fried bihun,positive,en
"To visit my family, I now have to use a hotel (they don't have the energy to put us up). Thought of B&B's, but found an advance purchase with Expedia at the Hyatt to be even cheaper. Great hotel, great location and views, really nice room (just don't get one overlooking I-95 unless you have earplugs). So the room rate was great (about $120) but parking is $30 and meals are expensive. For breakfast use the little snack place for a bagel and cream cheese, otherwise breakfast will be over $20. The pool is fabulous and the fitness room is terrific. But get to know Chris the concierge - he got us into the Chart House restaurant next door at Easter with a good table and special dessert when it was full. Great service, thanks Chris!",positive,en
i feel very morally superior that none of my kids have ever chopped their or anyone elses hair,positive,en
"As a big Dostoyevsky fan, I had always been disappointed with Hollywood's halfhearted attempts to get into the Russian romantic aesthetic -- case in point, Yul Brynner as Dmitri Karamazov. I had thought the whole problem was a poor casting decisions, but then I saw Yul as Major Surov and changed my mind. When given an intelligent script to work with, he suddenly came alive and was as noble, sexy, and conflicted as you could ever want a Neurotic Russian Officer to be! So he was a better Dmitri as Major Surov than he was as Dmitri. But that's because writer Tabori actually gave Yul, as the Conflicted Russian Officer, the kind of Conflicted Russian Officer lines that are worthy of real literature, and that have real meaning and pathos in them. For example, a propos of folk music, he says musingly, ""You hear a man crying in the dark. And if you listen carefully enough, you know what he cries for. You look surprised, Lady Ashmore. Despite what you may have heard, tractors and Marxism aren't the only things the Russian cares for. There is always time for music.""Brilliant!!",positive,en
"All of David Ridge's books help me understand the scriptures better, I bought this one for kindle for easier scripture study and reference.",positive,en
"I found the course helpful. As an older life long learner, I have had experience in identifying and modifying bad study habit. This course reinforced what I have picked up along the years. I applaud the clarity of the short segments of each lesson and think that this course would be extremely helpful for those of us with poor study habits.",positive,en
"I have been using Whatsapp for a month now which was installed on my device Infinix Smart 8. The problem I encountered is my voice volume is sometimes low which cause the opposite whom I talked to has problem to hear while I can hear him/her clearly. I also tested to call my other device (I have 2 phones). Could you please fix this problem for me? In case it is caused by brand name which bring their own hardware and software, the other device I have is Oppo F1S for more info. Thank you.",positive,en
